,text,label
606," ""Michael Vick shouldn't go to jail for dog fighting.""

""Why? It's a crime."" 

""Well, it's one thing to fight your friends or someone at a bar, but it's your dog.  You should be able to fight him if he gets in your face.""

 ""What?"" ",1
299,"Joseph Crone wakes in his hotel room on November 7, 2011 at 11:11AM. His manager, Grant, arrives and urges Joseph to write his next novel after telling him that his previous book sold over 5 million copies. Joseph begins writing about how after his wife and son died, he lost all faith in a higher power and God, and writes God is dead, or maybe he was never alive. On November 8, 2011, Joseph attends his support group meeting where Sadie is telling her story. Outside, Sadie tells Joseph that he should speak up, calling him good with words. As Joseph departs, Sadie gives him a notebook.",0
209," A man and a friend are playing golf one day at their local golf course. One of the guys is about to chip onto the green when he sees a long funeral procession on the road next to the course. He stops in mid-swing, takes off his golf cap, closes his eyes, and bows down in prayer.
His friend says: ""Wow, that is the most thoughtful and touching thing I have ever seen. You truly are a kind man.""

The man then replies: ""Yeah, well we were married 35 years."" ",1
130,"Whip, unable to bring himself to blame Trina for his actions, admits to being intoxicated the day of the crash. Thirteen months later, an imprisoned Whip tells a support group of fellow inmates that he is glad to be sober and does not regret doing the right thing. Whip is seen looking at pictures of Nicole, family, and friends on the wall of his cell, along with greeting cards congratulating him on being sober for a year. He is working to rebuild his relationship with his son, who visits to talk with him about a college application essay on ""the most fascinating person that I've never met."" His son begins by asking, ""Who are you?"" As a plane flies overhead, Whip replies, ""That's a good question.""",0
327," Three ants went to the beach to swim.
Two jumped directly in the water.
The other went back home and after an hour returned.
Why?

She forgot her swimming suit!! ",1
965,"David has also been praying to the ""God of green pastures"", and a priest explains that while some people say there are many gods, there really is only one. When he meets Sophie, a middle-aged lady who lives in Switzerland and likes to paint as a hobby, she asks David if she might paint him; later she invites David to have lunch with her in her house, and while he is there, David sees a picture of a woman in Denmark. Sophie tells him that the woman's husband and her child, a boy named David, were killed, but that a guard who was attracted to the woman allowed her to escape. He realizes he needs to travel to Denmark and find that woman, who is his mother. He also realizes that the guard, who became the commandant, has saved him because he was in love with David's mother. However, because she did not love him back, and he felt a need for revenge, he did not tell her that David was still alive.",0
728,"The team, including the coach, are against it, but her abilities gain her a spot on the team. However, the coach keeps her on the bench. In the fourth game, after much prodding from Curtis, the coach puts Jasmine in the game, and although they lose, everyone said they could have won if she had played from the beginning. Jasmine becomes the starting quarterback and the Minden Browns become a winning team. Everything is going great, until Coach Fisher has a heart attack, and the assistant coach asks Curtis to help coach the team through the last two games. He hesitates at first, but is eventually talked into it.",0
352," You have more than three first names.
 
You drove a monster truck to the prom.

You are marrying your brother-in-law. 

You go out, get drunk, and come home with a tatoo of your momma's name.

Your last name is your first name spelled backwards

You are readiing these jokes!!! ",1
34," A mother took her little boy to church. 
While in church the little boy said, ""Mommy, I have to pee."" 

The mother said to the little boy, ""It's not appropriate to say the word 'pee' in church. So, from now on whenever you have to 'pee' just tell me that you have to 'whisper'."" 

The following Sunday, the little boy went to church with his father and during the service said to his father, ""Daddy, I have to whisper."" 

The Father looked at him and said, ""Okay, why don't you whisper in my ear."" ",1
334," A blonde walked into the pet store and, after looking up and down the aisles, asked the sales clerk for help.
""I'd like a box of birdseed,"" said the lady.
""For which kind of bird?"" he asked helpfully.
""Oh, I dunno,"" she replied. ""Whichever will grow the fastest."" ",1
9, There were two blondes going hunting. It was getting late so one of theblondes said to the other that she heard if you ever get lost in the woods to shoot three shots into the air. So she did. A few hours wentby and so she fired three more shots in the air. A few more hours wentby and they fired three more shots in the air. Then one of the blondessaid someone better hurry up and save us...we only have two more arrowsleft. ,1
10,Jason confronts his mother and tells her he is a grown man and to stop treating him like a little boy. Jason tells everyone to look for Sabrina and also punches Malcolm. Jason prays to God to help him. Geneva is called by Sabrina who is at the docks in a boat. Geneva gives the story of Sabrina's father. He was a man in Paris whom she loved and planned to travel the world with but she soon found out he had a wife and child and she returned home alone and pregnant.,0
105," A man and a woman who have never met before find themselves in the same sleeping carriage of a train.After the initial embarrassment, they both go to sleep, the woman on the lower bunk, the man on the top.In the middle of the night the man leans over and says, ""I'm sorry to bother you but I'm cold and I was wondering if you could possibly pass me another blanket.""The woman leans out and says in a sexy voice, ""I've got a better idea. Let's pretend we're married.""""Hey, terrific idea!"" says the eager man.""Good!"" she replies, ""Get your own fu..in' blanket!"" ",1
197,"When a male polar bear comes along and starts swimming towards the walruses, Seela and her mother try to get away from him, but must rely on Auntie's help to stave off the polar bear's attack. Next for the polar bear cubs is learning how to hunt for food. Their mother teaches them how to hunt for a fur seal by stamping down on the ice where she can smell the seal in a small cave underneath. After one failed attempt diving into the water, the mother gets the seal by this stamping method, so her cubs and a fox trailing them can eat the meat. Meanwhile, the young walrus feasts on clams for three days with the rest of its herd on a clam bed they might revisit in another five years. The two animals then take similar paths.",0
855," A guy was packing for a business trip and his three year old daughter was having a wonderful time playing on the bed. At one point she said, ""Daddy, look at this,"" and stuck out two of her fingers. Trying to keep her entertained, he reached out and stuck her tiny fingers in his mouth and said, ""Daddy's gonna eat your fingers,"" pretending to eat them and then went back to packing. He looked up again and his daughter was standing on the bed staring at her fingers with a devastated look on her face. He said, ""What's wrong, honey?"" She replied, ""What happened to my boogie? ",1
